SESSION,DATE,landmarkid,utme,utmn,clan
S9649.1,8/23/2012,Calexico Den (HZ),0,0,happy zebra
S9650,8/26/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9651,8/26/2012,Calexico Den (HZ),0,0,happy zebra
S9652,8/26/2012,Egyptian Goose (HZ),0,0,happy zebra
S9653,8/26/2012,,718837,9836794,happy zebra
S9654,8/30/2012,Calexico Den (HZ),0,0,happy zebra
S9655,8/30/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9656,8/30/2012,Calexico Den (HZ),0,0,happy zebra
S9656,8/30/2012,Calexico Den (HZ),716760,9842976,happy zebra
S9658,9/3/2012,Mexicali Den (HZ),0,0,happy zebra
S9658,9/3/2012,Calexico Den (HZ),0,0,happy zebra
S9658,9/3/2012,Mexicali Den (HZ),0,0,happy zebra
S9659,9/5/2012,Burnt Crossing (Olare?),715914,9841586,happy zebra
S9660,9/5/2012,Mexicali Den (HZ),0,0,happy zebra
S9661,9/5/2012,Mexicali Den (HZ),716374,9842588,happy zebra
S9661,9/5/2012,Mexicali Den (HZ),0,0,happy zebra
S9662,9/5/2012,Metropolitan Tree (HZ),716508,9842706,happy zebra
S9663,9/5/2012,Ballerina Tree (South),716706,9842700,happy zebra
S9664,9/11/2012,Culvert City (HZ),0,0,happy zebra
S9665,9/11/2012,Mexicali Den (HZ),0,0,happy zebra
S9666,9/11/2012,,0,0,happy zebra
S9667,9/12/2012,Culvert City (HZ),0,0,happy zebra
S9668,9/14/2012,Culvert City (HZ),718111,9842410,happy zebra
S9669,9/14/2012,Metropolitan Tree (HZ),716292,9842628,happy zebra
S9670,9/14/2012,Culvert City (HZ),0,0,happy zebra
S9671,9/17/2012,Culvert City (HZ),0,0,happy zebra
S9672,9/17/2012,Metropolitan Tree (HZ),716423,9842568,happy zebra
S9673,9/17/2012,Sneaky Crossing (HZ),717215,9841524,happy zebra
S9674,9/17/2012,Culvert City (HZ),0,0,happy zebra
S9674,9/17/2012,9km Marker (HZ),718089,9842302,happy zebra
S9674,9/17/2012,9km Marker (HZ),717996,9842144,happy zebra
S9674,9/17/2012,Culvert City (HZ),718119,9842442,happy zebra
S9674,9/17/2012,9km Marker (HZ),718088,9842262,happy zebra
S9674,9/17/2012,9km Marker (HZ),0,0,happy zebra
S9674,9/17/2012,9km Marker (HZ),0,0,happy zebra
S9675,9/19/2012,Comatose Culvert (HZ),0,0,happy zebra
S9676,9/22/2012,Nogales Den (HZ),0,0,happy zebra
S9677.1,9/22/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9678,9/26/2012,Culvert City (HZ),0,0,happy zebra
S9679,9/26/2012,Culvert City (HZ),0,0,happy zebra
S9680,9/27/2012,Culvert City (HZ),0,0,happy zebra
S9681,9/27/2012,9km Marker (HZ),717940,9842292,happy zebra
S9682,9/27/2012,9km Marker (HZ),718083,9842272,happy zebra
S9683,9/27/2012,9km Marker (HZ),718071,9842328,happy zebra
S9684,9/29/2012,Knot Tree (North),0,0,happy zebra
S9685,9/29/2012,Egyptian Goose (HZ),718454,9840758,happy zebra
S9687,9/29/2012,Metropolitan Tree (HZ),0,0,happy zebra
S9687,9/29/2012,Metropolitan Tree (HZ),716128,9842510,happy zebra
S9687,9/29/2012,Nogales Den (HZ),0,0,happy zebra
S9688,11/4/2012,Comatose Culvert (HZ),718437,9841058,happy zebra
S9689,11/4/2012,LBJ X (HZ?),719799,9840412,happy zebra
S9690,11/2/2012,Comatose Culvert (HZ),718255,9841432,happy zebra
S9690.1,11/5/2012,Comatose Culvert (HZ),718255,9841432,happy zebra
S9691,11/5/2012,Sneaky Crossing (HZ),717394,9841462,happy zebra
S9692,11/5/2012,Metropolitan Tree (HZ),716408,9842522,happy zebra
S9693,11/8/2012,Ballerina Tree (South),717393,9842276,happy zebra
S9694,11/8/2012,Sneaky Crossing (HZ),717557,9841728,happy zebra
S9694,11/8/2012,9km Marker (HZ),717451,9841896,happy zebra
S9694,11/8/2012,9km Marker (HZ),717467,9841964,happy zebra
S9694,11/8/2012,Ballerina Tree (South),717379,9842118,happy zebra
S9694,11/8/2012,Ballerina Tree (South),717479,9842366,happy zebra
S9694,11/8/2012,Culvert City (HZ),717930,9842528,happy zebra
S9694,11/8/2012,Culvert City (HZ),0,0,happy zebra
S9694,11/8/2012,Culvert City (HZ),718447,9842754,happy zebra
S9694,11/8/2012,Knot Tree (North),718816,9842722,happy zebra
S9695,11/8/2012,Comatose Culvert (HZ),718410,9841242,happy zebra
S9696,11/8/2012,LBJ X (HZ?),720078,9839958,happy zebra
S9697,11/8/2012,Serena Maji Fisi (HZ),718915,9838336,happy zebra
S9751,12/1/2012,Sneaky Crossing (HZ),717129,9841672,happy zebra
