"","tmp1","tmp2","tmp3","tmp4"
"107",2012,8,732686,9844928
"108",2012,8,731144,9843740
"109",2012,8,731645,9843612
"110",2012,8,731144,9843740
"111",2012,8,731498,9844750
"112",2012,8,731144,9843740
"113",2012,8,731826,9841294
"114",2012,8,731047,9841740
"115",2012,8,734722,9843020
"116",2012,8,734893,9842768
"117",2012,8,731645,9843612
"118",2012,8,731144,9843740
"119",2012,8,731581,9844082
"120",2012,8,731639,9844552
"121",2012,8,724891,9848072
"122",2012,8,731144,9843740
"123",2012,8,731645,9843612
"124",2012,8,731144,9843740
"125",2012,8,732184,9844985
"126",2012,8,730105,9843861
"127",2012,8,730364,9843397
"128",2012,8,731144,9843740
"129",2012,8,731144,9843740
"130",2012,9,731983,9844366
"131",2012,9,731864,9844260
"132",2012,9,731470,9840948
"133",2012,9,731888,9844262
"134",2012,9,731487,9843858
"135",2012,9,731487,9843858
"136",2012,9,731451,9843958
"137",2012,9,731144,9843740
"138",2012,9,731734,9843960
"139",2012,9,733791,9844776
"140",2012,9,734031,9844630
"141",2012,9,734030,9844628
"142",2012,9,733832,9843922
"143",2012,9,730500,9841506
"144",2012,9,734194,9842046
"145",2012,9,731144,9843740
"146",2012,9,731645,9843612
"147",2012,9,732395,9842536
"148",2012,9,732922,9842028
"149",2012,10,731645,9843612
"150",2012,10,731144,9843740
"151",2012,10,733461,9842409
"152",2012,10,733197,9842221
"153",2012,10,732292,9841947
"154",2012,10,732582,9842089
"155",2012,10,732881,9842047
"156",2012,10,730910,9841826
"157",2012,10,730941,9840790
"158",2012,10,731214,9840746
"159",2012,10,736145,9844496
"160",2012,10,731144,9843740
"161",2012,10,731370,9841247
"162",2012,10,731719,9839992
"163",2012,10,731478,9840098
"164",2012,10,731163,9840031
"165",2012,10,731268,9840893
"166",2012,10,731645,9843612
"167",2012,10,731144,9843740
"168",2012,10,732117,9841078
"169",2012,10,732010,9841068
"170",2012,10,731527,9841024
"171",2012,10,734932,9842156
"172",2012,10,734932,9842156
"173",2012,10,731815,9841108
"174",2012,10,731547,9841067
"175",2012,10,731482,9841081
"176",2012,10,731627,9840990
"177",2012,10,731333,9840944
"178",2012,10,731171,9840807
"179",2012,10,731171,9840807
"180",2012,10,731543,9841020
"181",2012,10,731707,9840823
"182",2012,10,731335,9840905
"183",2012,10,731171,9840807
"184",2012,10,731416,9840932
"185",2012,10,731171,9840807
