SESSION,DATE,landmarkid,utme,utmn,clan
S9891,1/24/2013,Blowin' in the Wind Tree (North),721576,9844614,serena n
S9888,1/24/2013,Blowin' in the Wind Tree (North),721576,9844614,serena n
S8494,7/31/2013,Blowin' in the Wind Tree (North),721665,9844404,serena n
S10748,6/17/2013,Blowin' in the Wind Tree (North),721672,9844606,serena n
S8509,11/19/2012,Blowin' in the Wind Tree (North),721719,9844604,serena n
S10686,6/8/2013,Blowin' in the Wind Tree (North),721731,9844602,serena n
S8416,11/1/2012,Blowin' in the Wind Tree (North),721887,9844632,serena n
S8394,10/24/2012,Blowin' in the Wind Tree (North),721918,9844639,serena n
S8388,10/23/2012,Blowin' in the Wind Tree (North),721929,9844639,serena n
S9930,2/3/2013,Blowin' in the Wind Tree (North),722071,9844674,serena n
S10833,6/22/2013,Blowin' in the Wind Tree (North),722078,9844676,serena n
S9924,2/3/2013,Blowin' in the Wind Tree (North),722107,9844688,serena n
S10167,7/31/2013,Blowin' in the Wind Tree (North),722141,9844695,serena n
S11151,10/20/2013,Blowin' in the Wind Tree (North),722214,9844709,serena n
S11152,10/21/2013,Blowin' in the Wind Tree (North),722245,9844710,serena n
S10465,3/26/2013,Blowin' in the Wind Tree (North),722251,9844712,serena n
S11296,11/27/2013,Blowin' in the Wind Tree (North),722364,9844742,serena n
S10479,4/8/2013,Blowin' in the Wind Tree (North),722382,9844737,serena n
S13385,2/16/2014,Boo Tree (North),,,serena n
S10941,8/18/2013,Boo Tree (North),0,0,serena n
S13486.1,3/7/2014,Boo Tree (North),0,0,serena n
S9920,2/2/2013,Boo Tree (North),721990,9845320,serena n
S11234,11/11/2013,Boo Tree (North),722323,9846621,serena n
S11005,9/6/2013,Boo Tree (North),722429,9845967,serena n
S11060,9/25/2013,Boo Tree (North),722430,9845959,serena n
S10965,8/24/2013,Boo Tree (North),722433,9845961,serena n
S10460,3/25/2013,Boo Tree (North),722435,9845958,serena n
S10548,5/7/2013,Boo Tree (North),722440,9846087,serena n
S10547,5/7/2013,Boo Tree (North),722487,9845863,serena n
S10526.1,4/26/2013,Boo Tree (North),722601,9845376,serena n
S11216,11/3/2013,Boo Tree (North),722765,9846281,serena n
S10871,8/1/2013,Boo Tree (North),722775,9846306,serena n
S10549,5/7/2013,Boo Tree (North),722789,9846450,serena n
S10928,8/15/2013,Boo Tree (North),722791,9846324,serena n
S10944,8/18/2013,Boo Tree (North),722793,9846331,serena n
S10935,8/16/2013,Boo Tree (North),722795,9846345,serena n
S10969,8/26/2013,Boo Tree (North),722795,9846340,serena n
S10964,8/24/2013,Boo Tree (North),722797,9846347,serena n
S10986,8/30/2013,Boo Tree (North),722799,9846351,serena n
S10740,6/16/2013,Boo Tree (North),722813,9846667,serena n
S9861,1/13/2013,Boo Tree (North),722816,9846668,serena n
S10904.1,8/9/2013,Boo Tree (North),722822,9846610,serena n
S11218,11/3/2013,Boo Tree (North),722852,9846535,serena n
S10991,9/1/2013,Boo Tree (North),722860,9846522,serena n
S11074,9/29/2013,Boo Tree (North),722866,9846645,serena n
S13391,2/18/2014,Boo Tree (North),722916,9846637,serena n
S10720,6/13/2013,Boo Tree (North),722960,9846617,serena n
S10700,6/10/2013,Boo Tree (North),722963,9846619,serena n
S13526,3/12/2014,Boo Tree (North),722978,9846610,serena n
S10824,6/21/2013,Boo Tree (North),723071,9846571,serena n
S11114,10/10/2013,Boo Tree (North),723077,9846577,serena n
S13527,3/12/2014,Boo Tree (North),723080,9846585,serena n
S8338,9/16/2012,Boo Tree (North),723107,9846574,serena n
S11309,11/30/2013,Boo Tree (North),723121,9846563,serena n
S11187,10/26/2013,Boo Tree (North),723166,9846484,serena n
S11243,11/14/2013,Boo Tree (North),723245,9846468,serena n
S10740,6/16/2013,Boo Tree (North),723619,9846513,serena n
S10092,7/19/2013,Bordello Den (North),0,0,serena n
S10091,7/19/2013,Bordello Den (North),0,0,serena n
S10090,7/19/2013,Bordello Den (North),0,0,serena n
S10087.1,7/19/2013,Bordello Den (North),0,0,serena n
S10096,7/20/2013,Bordello Den (North),0,0,serena n
S10100,7/20/2013,Bordello Den (North),0,0,serena n
S10101,7/20/2013,Bordello Den (North),0,0,serena n
S10094,7/20/2013,Bordello Den (North),0,0,serena n
S10105,7/21/2013,Bordello Den (North),0,0,serena n
S10111,7/23/2013,Bordello Den (North),0,0,serena n
S10108,7/23/2013,Bordello Den (North),0,0,serena n
S10113,7/23/2013,Bordello Den (North),0,0,serena n
S10112,7/23/2013,Bordello Den (North),0,0,serena n
S10117,7/24/2013,Bordello Den (North),0,0,serena n
S10126,7/26/2013,Bordello Den (North),0,0,serena n
S10127,7/26/2013,Bordello Den (North),720747,9847510,serena n
S10104,7/21/2013,Bordello Den (North),720968,9847569,serena n
S10097,7/20/2013,Bordello Den (North),721553,9847469,serena n
S10099,7/20/2013,Bordello Den (North),721593,9847565,serena n
S8325.2,8/29/2012,Budapest Den (North),0,0,serena n
S8323,8/29/2012,Budapest Den (North),0,0,serena n
S8325,8/29/2012,Budapest Den (North),0,0,serena n
S8331,9/1/2012,Budapest Den (North),0,0,serena n
S8329,9/1/2012,Budapest Den (North),0,0,serena n
S8335,9/13/2012,Budapest Den (North),0,0,serena n
S8356,9/24/2012,Budapest Den (North),0,0,serena n
S8358,9/25/2012,Budapest Den (North),0,0,serena n
S8363,9/26/2012,Budapest Den (North),0,0,serena n
S8366,9/28/2012,Budapest Den (North),0,0,serena n
S8370,9/29/2012,Budapest Den (North),0,0,serena n
S8371,10/1/2012,Budapest Den (North),0,0,serena n
S8373,10/5/2012,Budapest Den (North),0,0,serena n
S8374,10/8/2012,Budapest Den (North),0,0,serena n
S8377,10/12/2012,Budapest Den (North),0,0,serena n
S8378,10/15/2012,Budapest Den (North),0,0,serena n
S8358,9/25/2012,Budapest Den (North),719642,9850768,serena n
S8358,9/25/2012,Budapest Den (North),719699,9850858,serena n
S11019,9/10/2013,Cinnabon Den (North),0,0,serena n
S11022,9/10/2013,Cinnabon Den (North),0,0,serena n
S11024,9/12/2013,Cinnabon Den (North),0,0,serena n
S11025,9/12/2013,Cinnabon Den (North),0,0,serena n
S11033,9/13/2013,Cinnabon Den (North),0,0,serena n
S11034,9/15/2013,Cinnabon Den (North),0,0,serena n
S11041,9/16/2013,Cinnabon Den (North),0,0,serena n
