SESSION,DATE,landmarkid,utme,utmn
102132,7/28/2012,MJ Lane Top (Fig Tree),740915,9840338
102133,7/28/2012,MJ Lane Top (Fig Tree),740212,9840084
102134,7/28/2012,Tantalizing Communal Den (Fig tree),0,0
102156,7/29/2012,Moon Den (Fig Tree),0,0
102151,7/29/2012,MJ Lane Top (Fig Tree),740411,9839629
102157,7/29/2012,Fallopian Tree (Fig Tree),741226,9840377
102155,7/29/2012,Critter Crossing (Fig Tree),741387,9841681
102154,7/29/2012,Gomer's Lugga (Fig Tree),741860,9842062
102153,7/29/2012,Moon Den (Fig Tree),0,0
102152,7/29/2012,Tantalizing Communal Den (Fig tree),0,0
102159,7/29/2012,Moon Den (Fig Tree),0,0
102151,7/29/2012,Tantalizing Communal Den (Fig tree),0,0
102150,7/29/2012,MJ Lane Top (Fig Tree),748846,9840331
102149,7/29/2012,Moon Den (Fig Tree),0,0
102148,7/29/2012,MJ Lane Top (Fig Tree),740891,9840320
102158,7/29/2012,Tantalizing Communal Den (Fig tree),0,0
102148,7/29/2012,Tantalizing Communal Den (Fig tree),0,0
102147,7/29/2012,MJ Lane Top (Fig Tree),740329,9840254
102146,7/29/2012,Moon Den (Fig Tree),0,0
102151,7/29/2012,MJ Lane Top (Fig Tree),740324,9839899
102160,7/30/2012,Nose Tree (Fig Tree),741676,9841157
102161,7/30/2012,MJ Lane Top (Fig Tree),740757,9840322
102162,7/30/2012,MJ Lane Top (Fig Tree),0,0
102166,7/31/2012,Tantalizing Communal Den (Fig tree),0,0
102167,7/31/2012,MJ Lane Top (Fig Tree),740340,9840256
102163,7/31/2012,MJ Lane Top (Fig Tree),740344,9840168
102168,7/31/2012,Moon Den (Fig Tree),0,0
102165,7/31/2012,Moon Den (Fig Tree),0,0
102172,8/2/2012,Deadwood Crossing (Fig Tree),739334,9840203
102173,8/2/2012,MJ Lane Bottom (Fig Tree),739513,9840535
102171,8/2/2012,Deadwood Crossing (Fig Tree),739474,9840085
102171,8/2/2012,MJ Lane Top (Fig Tree),740033,9840201
102170,8/2/2012,Moon Den (Fig Tree),0,0
102169,8/2/2012,Fallopian Tree (Fig Tree),741325,9840418
102174,8/2/2012,Moon Den (Fig Tree),0,0
102175,8/3/2012,Moon Den (Fig Tree),0,0
102176,8/3/2012,Buffalo Lugga Communal Den (Fig Tree),0,0
102176,8/3/2012,MJ Lane Top (Fig Tree),739696,9839992
102176,8/3/2012,MJ Lane Top (Fig Tree),740143,9840204
102177,8/3/2012,Moon Den (Fig Tree),0,0
102178,8/13/2012,MJ Lane Top (Fig Tree),740467,9840287
102179,8/13/2012,MJ Lane Top (Fig Tree),740729,9840319
102179,8/13/2012,MJ Lane Top (Fig Tree),740634,9840027
102180,8/14/2012,MJ Lane Top (Fig Tree),0,0
102181,8/14/2012,Viagra Communal Den (Fig Tree),0,0
102182,8/16/2012,Cheke Communal Den (Fig tree),0,0
102182,8/16/2012,"Pointer Lugga, Top (Prozac)",738181,9839390
102182,8/16/2012,"Pointer Lugga, Top (Prozac)",737436,9839312
102183,8/16/2012,"Pointer Lugga, Top (Prozac)",738112,9839386
102184,8/16/2012,"Pointer Lugga, Top (Prozac)",738219,9839474
102185,8/16/2012,Cheke Communal Den (Fig tree),0,0
102187,8/18/2012,Cheke Communal Den (Fig tree),0,0
102193,8/18/2012,Cub the Place Communal Den (Fig tree),0,0
102192,8/18/2012,Cub the Place Communal Den (Fig tree),0,0
102191,8/18/2012,Murram Pit Lugga-East Fork (Fig Tree),740762,9841843
102190,8/18/2012,Gomer's Lugga (Fig Tree),742318,9840937
102188,8/18/2012,Cheke Communal Den (Fig tree),0,0
102186,8/18/2012,Cub the Place Communal Den (Fig tree),0,0
102189,8/18/2012,Tawny Tree (Talek),742483,9840522
102194,8/20/2012,"Pointer Lugga, Top (Prozac)",738160,9840086
102195,8/20/2012,Cub the Place Communal Den (Fig tree),0,0
102199,8/21/2012,Tawny Tree (Talek),742433,9840406
102196,8/21/2012,Cub the Place Communal Den (Fig tree),0,0
102197,8/21/2012,Critter Crossing (Fig Tree),740774,9841664
102198,8/21/2012,Cub the Place Communal Den (Fig tree),0,0
102202,8/22/2012,Cub the Place Communal Den (Fig tree),0,0
102200,8/22/2012,Sabre Gateway X (Fig Tree),740335,9838508
102201,8/22/2012,Buffalo Lugga (Fig Tree),738588,9841814
102203,8/24/2012,Nose Tree (Fig Tree),741564,9841162
102204,8/24/2012,Cub the Place Communal Den (Fig tree),0,0
102205,8/24/2012,Cub the Place Communal Den (Fig tree),0,0
102206,8/24/2012,MJ Lane Top (Fig Tree),0,0
102206,8/24/2012,MJ Lane Top (Fig Tree),740495,9840660
102206,8/24/2012,Buffalo Lugga Communal Den (Fig Tree),0,0
102206,8/24/2012,Deadwood Crossing (Fig Tree),739175,9840152
102206,8/24/2012,Deadwood Crossing (Fig Tree),739261,9840022
102207,8/27/2012,Cub the Place Communal Den (Fig tree),0,0
102209,9/13/2012,Buffalo Lugga High Crossing (Prozac),737941,9840686
102209,9/13/2012,Thinktank Natal Den (Fig Tree),737806,9840896
102208,9/13/2012,Tawny Tree (Talek),742816,9839836
102209,9/13/2012,Thinktank Natal Den (Fig Tree),737908,9841101
102210,9/14/2012,Atlas Tree (Prozac),736246,9842426
102211,9/14/2012,Topi Swamp (Prozac),0,0
102217,9/18/2012,Umbrella Tree (Prozac),736237,9840893
102222,9/18/2012,Tawny Tree (Talek),742622,9840307
102221,9/18/2012,Deadwood Crossing (Fig Tree),739073,9839921
102220,9/18/2012,"Pointer Lugga, Top (Prozac)",738329,9840038
102219,9/18/2012,"Pointer Lugga, Top (Prozac)",737315,9840327
102218,9/18/2012,"Pointer Lugga, Top (Prozac)",736707,9840453
102216,9/18/2012,Maji Mbali (Prozac),736317,9841160
102215,9/18/2012,Maji Mbali (Prozac),736381,9841280
102214,9/18/2012,Maji Mbali (Prozac),736392,9841258
102213,9/18/2012,Maji Mbali (Prozac),736327,9841510
102212,9/18/2012,Desert Island Tree (Prozac),735811,9839739
102213,9/18/2012,Maji Mbali (Prozac),736392,9841258
102217,9/18/2012,Maji Mbali (Prozac),736317,9841111
102230,9/19/2012,Maji Mbali (Prozac),736601,9841764
102231,9/19/2012,Maji Mbali (Prozac),736523,9841547
102230,9/19/2012,Maji Mbali (Prozac),736315,9841455
102230,9/19/2012,Maji Mbali (Prozac),0,0
102229,9/19/2012,Topi Swamp (Prozac),0,0
102228,9/19/2012,"Pointer Lugga, Top (Prozac)",737449,9840584
102227,9/19/2012,Topi Swamp (Prozac),737139,9841878
102226,9/19/2012,Maji Mbali (Prozac),736381,9841287
102226,9/19/2012,Maji Mbali (Prozac),736364,9841385
102225,9/19/2012,Maji Mbali (Prozac),0,0
102224,9/19/2012,Pallet Town Den (Fig Tree),0,0
102231,9/19/2012,Maji Mbali (Prozac),736303,9841453
102224,9/19/2012,Maji Mbali (Prozac),0,0
102223,9/19/2012,Maji Mbali (Prozac),0,0
102227,9/19/2012,Maji Mbali (Prozac),0,0
102232,9/20/2012,Maji Mbali (Prozac),0,0
102236,9/21/2012,Maji Mbali (Prozac),736428,9841829
102233,9/21/2012,Pallet Town Den (Fig Tree),0,0
102234,9/21/2012,Maji Mbali (Prozac),0,0
102235,9/21/2012,Atlas Tree (Prozac),736300,9842389
102237,9/22/2012,Topi Swamp (Prozac),0,0
102239,9/23/2012,Atlas Tree (Prozac),736584,9842275
102239,9/23/2012,Atlas Tree (Prozac),736653,9842402
102240,9/23/2012,Odd Couple (Prozac),736814,9842743
102240,9/23/2012,Atlas Tree (Prozac),736969,9842450
102240,9/23/2012,Topi Swamp (Prozac),737125,9842169
102240,9/23/2012,Topi Swamp (Prozac),0,0
102238,9/23/2012,Topi Swamp (Prozac),0,0
102241,9/24/2012,Buffalo Lugga High Crossing (Prozac),738786,9841402
102242,9/24/2012,Topi Swamp (Prozac),0,0
102242,9/24/2012,Topi Swamp (Prozac),0,0
102243,9/24/2012,Atlas Tree (Prozac),736899,9842141
102244,9/28/2012,Topi Swamp (Prozac),0,0
102245,9/28/2012,Topi Swamp (Prozac),737395,9841978
102246,10/9/2012,Topi Swamp (Prozac),737267,9842190
102246,10/9/2012,Atlas Tree (Prozac),737102,9842242
