Easting,Northing,Clan,Count,Date,Year,Month,Day,Time
747292,9835782,TW,2,8/24/2012,2012,8,24,7:34
747747,9835303,TW,1,8/24/2012,2012,8,24,17:38
748560,9836678,TW,2,8/24/2012,2012,8,24,19:59
741564,9841162,FT,2,8/24/2012,2012,8,24,6:20
747887,9836762,TW,2,8/25/2012,2012,8,25,8:31
747815,9833923,TW,1,8/26/2012,2012,8,26,8:33
742725,9839428,TW,2,8/31/2012,2012,8,31,17:53
727595,9841890,SS,1,8/31/2012,2012,8,31,6:32
727191,9841260,SS,2,8/31/2012,2012,8,31,17:31
745831,9838494,TW,2,9/2/2012,2012,9,2,8:26
746037,9837552,TW,1,9/2/2012,2012,9,2,8:37
724585,9845198,SN,1,9/2/2012,2012,9,2,16:48
748571,9838100,TW,2,9/3/2012,2012,9,3,7:53
746673,9837962,TW,2,9/3/2012,2012,9,3,8:38
746883,9836630,TW,1,9/4/2012,2012,9,4,17:22
749138,9837259,TW,2,9/5/2012,2012,9,5,17:10
745018,9838398,TW,2,9/5/2012,2012,9,5,8:20
728396,9841824,SS,2,9/5/2012,2012,9,5,7:18
725305,9843366,SS,2,9/6/2012,2012,9,6,5:58
746310,9837709,TW,6,9/8/2012,2012,9,8,18:09
728071,9841490,SS,2,9/10/2012,2012,9,10,17:35
752430,9836689,TW,1,9/11/2012,2012,9,11,6:24
748531,9835250,TW,2,9/13/2012,2012,9,13,17:26
742816,9839836,FT,1,9/13/2012,2012,9,13,7:35
749658,9834052,TW,3,9/17/2012,2012,9,17,6:46
749800,9834710,TW,2,9/18/2012,2012,9,18,17:56
749282,9835354,TW,2,9/18/2012,2012,9,18,18:04
747636,9837248,TW,2,9/19/2012,2012,9,19,18:17
748596,9836896,TW,2,9/21/2012,2012,9,21,17:17
725257,9843492,SS,1,9/21/2012,2012,9,21,19:39
734194,9842046,MR,1,9/22/2012,2012,9,22,8:51
748655,9835611,TW,1,9/23/2012,2012,9,23,19:00
751211,9837866,TW,2,9/25/2012,2012,9,25,19:44
724482,9845844,SN,2,9/25/2012,2012,9,25,20:22
728008,9840542,SS,2,9/25/2012,2012,9,25,8:52
727377,9840658,SS,2,9/27/2012,2012,9,27,7:00
747852,9837406,TW,2,9/28/2012,2012,9,28,8:57
718454,9840758,HZ,2,9/29/2012,2012,9,29,6:26
