"","year","month","UTME","UTMN"
"333",2012,7,751254,9837761
"334",2012,7,748519,9837775
"335",2012,7,748286,9837816
"336",2012,7,748228,9837861
"337",2012,7,748771,9837952
"338",2012,7,748384,9837979
"339",2012,7,746604,9838360
"340",2012,7,748477,9838427
"341",2012,7,748477,9838427
"342",2012,7,745066,9839278
"343",2012,7,743557,9840190
"344",2012,7,747750,9837284
"345",2012,7,747857,9837106
"346",2012,7,749030,9837112
"347",2012,7,747560,9837164
"348",2012,7,749138,9837259
"349",2012,7,749138,9837259
"350",2012,7,748938,9837378
"351",2012,7,748467,9837406
"352",2012,7,748565,9837620
"353",2012,7,748599,9837793
"354",2012,7,748279,9837836
"355",2012,7,748542,9837872
"356",2012,7,748536,9837934
"357",2012,7,747183,9838167
"358",2012,7,747478,9838168
"359",2012,7,746656,9838204
"360",2012,7,746269,9838353
"361",2012,7,748477,9838427
"362",2012,7,748477,9838427
"363",2012,7,748477,9838427
"364",2012,7,745310,9838783
"365",2012,7,748961,9836296
"366",2012,7,748814,9836806
"367",2012,7,748814,9837550
"368",2012,7,748712,9837664
"369",2012,7,748536,9837856
"370",2012,7,748225,9837879
"371",2012,7,748257,9837964
"372",2012,7,748257,9837964
"373",2012,7,748243,9837976
"374",2012,7,748399,9838006
"375",2012,7,748535,9838034
"376",2012,7,748060,9838046
"377",2012,7,747786,9838066
"378",2012,7,748405,9838142
"379",2012,7,748438,9838160
"380",2012,7,748447,9838182
"381",2012,7,746502,9838240
"382",2012,7,745018,9838398
"383",2012,7,748477,9838427
"384",2012,7,748477,9838427
"385",2012,7,748477,9838427
"386",2012,7,745374,9838522
"387",2012,7,736873,9850568
"388",2012,7,737293,9852019
"389",2012,7,737034,9852204
"390",2012,7,748807,9836032
"391",2012,7,748173,9836570
"392",2012,7,747797,9836633
"393",2012,7,746799,9836644
"394",2012,7,746798,9836653
"395",2012,7,748222,9836706
"396",2012,7,748222,9836706
"397",2012,7,747986,9836794
"398",2012,7,748308,9836830
"399",2012,7,746886,9836830
"400",2012,7,748586,9836868
"401",2012,7,746885,9836898
"402",2012,7,749202,9836956
"403",2012,7,748320,9837034
"404",2012,7,749052,9837134
"405",2012,7,747926,9837150
"406",2012,7,748312,9837338
"407",2012,7,748467,9837406
"408",2012,7,748467,9837406
"409",2012,7,747902,9837436
"410",2012,7,751870,9837590
"411",2012,7,748565,9837620
"412",2012,7,748550,9837848
"413",2012,7,748483,9837850
"414",2012,7,747225,9837906
"415",2012,7,748249,9837926
"416",2012,7,748211,9837952
"417",2012,7,748105,9838024
"418",2012,7,748497,9838048
"419",2012,7,748482,9838194
"420",2012,7,748459,9838198
"421",2012,7,748477,9838427
"422",2012,7,748477,9838427
"423",2012,7,748477,9838427
"424",2012,7,745932,9838461
"425",2012,7,748483,9838876
"426",2012,7,744605,9840039
"427",2012,7,743815,9840107
"428",2012,7,743385,9840249
"429",2012,7,742424,9845126
"430",2012,7,741059,9846443
"431",2012,7,738007,9851580
"432",2012,7,737590,9851704
"433",2012,7,737968,9852012
"434",2012,7,737494,9852218
"435",2012,7,747793,9836200
"436",2012,7,748541,9836680
"437",2012,7,748410,9837236
"438",2012,7,748386,9837256
"439",2012,7,747908,9837440
"440",2012,7,747432,9837579
"441",2012,7,748403,9837814
"442",2012,7,748090,9837837
"443",2012,7,748556,9838038
"444",2012,7,748482,9838188
"445",2012,7,748477,9838427
"446",2012,7,743802,9840132
"447",2012,7,746997,9836480
"448",2012,7,748558,9836680
"449",2012,7,748090,9837837
"450",2012,7,748470,9838034
"451",2012,7,748466,9838192
"452",2012,7,748466,9838192
"453",2012,7,744792,9838372
"454",2012,7,746406,9838392
"455",2012,7,748477,9838427
"456",2012,7,748477,9838427
"457",2012,7,748477,9838427
"458",2012,7,745056,9839130
"459",2012,7,745129,9839157
"460",2012,7,745757,9839525
"461",2012,7,743764,9840044
"462",2012,7,743225,9840307
"463",2012,7,747750,9837284
"464",2012,7,747371,9836013
"465",2012,7,747437,9836198
"466",2012,7,747581,9836310
"467",2012,7,747631,9836468
"468",2012,7,746976,9836588
"469",2012,7,747655,9836776
"470",2012,7,748784,9836852
"471",2012,7,748785,9836922
"472",2012,7,748910,9836954
"473",2012,7,747868,9837060
"474",2012,7,749316,9837198
"475",2012,7,748177,9837210
"476",2012,7,747999,9837250
"477",2012,7,747447,9837358
"478",2012,7,747717,9837488
"479",2012,7,751870,9837590
"480",2012,7,747233,9837592
"481",2012,7,748636,9837720
"482",2012,7,748090,9837837
"483",2012,7,748090,9837837
"484",2012,7,747817,9838027
"485",2012,7,747047,9838184
"486",2012,7,746455,9838308
"487",2012,7,748477,9838427
"488",2012,7,748477,9838427
"489",2012,7,748477,9838427
"490",2012,7,748477,9838427
"491",2012,7,748061,9838502
"492",2012,7,744833,9839103
"493",2012,7,748807,9836032
"494",2012,7,748900,9836264
"495",2012,7,749039,9836442
"496",2012,7,749623,9837021
"497",2012,7,749138,9837259
"498",2012,7,748415,9837764
"499",2012,7,748037,9837936
"500",2012,7,747847,9837945
"501",2012,7,747886,9837980
"502",2012,7,748427,9838005
"503",2012,7,747716,9838022
"504",2012,7,747716,9838022
"505",2012,7,747634,9838034
"506",2012,7,747635,9838038
"507",2012,7,747036,9838112
"508",2012,7,747366,9838133
"509",2012,7,748488,9838206
"510",2012,7,747075,9838275
"511",2012,7,746441,9838306
"512",2012,7,746799,9838350
"513",2012,7,746269,9838353
"514",2012,7,746269,9838353
"515",2012,7,746604,9838360
"516",2012,7,748477,9838427
"517",2012,7,748477,9838427
"518",2012,7,748477,9838427
"519",2012,7,745859,9838492
"520",2012,7,744737,9839484
"521",2012,7,744518,9840014
"522",2012,7,743856,9840070
"523",2012,7,743233,9840306
"524",2012,7,748807,9836032
"525",2012,7,747378,9837141
"526",2012,7,746284,9837235
"527",2012,7,747636,9837248
"528",2012,7,746293,9837304
"529",2012,7,747467,9837392
"530",2012,7,747467,9837392
"531",2012,7,747432,9837579
"532",2012,7,748565,9837620
"533",2012,7,748029,9837955
"534",2012,7,746673,9837962
"535",2012,7,748061,9838010
"536",2012,7,747808,9838026
"537",2012,7,748232,9838186
"538",2012,7,746395,9838200
"539",2012,7,746395,9838200
"540",2012,7,748005,9838236
"541",2012,7,748477,9838427
"542",2012,7,748477,9838427
"543",2012,7,748477,9838427
"544",2012,7,748477,9838427
"545",2012,7,745899,9838492
"546",2012,7,744748,9838636
"547",2012,7,745310,9838783
"548",2012,7,745310,9838783
"549",2012,7,744831,9838930
"550",2012,7,743166,9840333
"551",2012,7,743571,9840558
"552",2012,7,743097,9840863
"553",2012,7,748126,9835148
"554",2012,7,748324,9836427
"555",2012,7,746895,9836516
"556",2012,7,747324,9837687
"557",2012,7,747324,9837687
"558",2012,7,746679,9838067
"559",2012,7,746269,9838353
"560",2012,7,746269,9838353
"561",2012,7,746269,9838353
"562",2012,7,746604,9838360
"563",2012,7,748477,9838427
"564",2012,7,746053,9838452
"565",2012,7,746291,9838485
"566",2012,7,746291,9838485
"567",2012,7,746245,9838492
"568",2012,7,745923,9838494
"569",2012,7,745536,9838556
"570",2012,7,745252,9838929
"571",2012,7,745064,9839246
"572",2012,7,743423,9840244
"573",2012,7,746289,9836282
"574",2012,7,747625,9836452
"575",2012,7,747625,9836452
"576",2012,7,747204,9837640
"577",2012,7,750873,9837850
"578",2012,7,746874,9837864
"579",2012,7,746905,9838003
"580",2012,7,746209,9838114
"581",2012,7,747679,9838122
"582",2012,7,746142,9838126
"583",2012,7,746507,9838136
"584",2012,7,747214,9838140
"585",2012,7,748411,9838158
"586",2012,7,748297,9838166
"587",2012,7,748218,9838178
"588",2012,7,748381,9838196
"589",2012,7,746604,9838360
"590",2012,7,746604,9838360
"591",2012,7,748477,9838427
"592",2012,7,748477,9838427
"593",2012,7,748477,9838427
"594",2012,7,745839,9838491
"595",2012,7,746397,9838510
"596",2012,7,746155,9839502
"597",2012,7,744618,9839987
"598",2012,7,743648,9840175
"599",2012,7,745018,9838398
"600",2012,7,745018,9838398
"601",2012,7,748477,9838427
"602",2012,7,748477,9838427
"603",2012,7,745450,9838556
"604",2012,7,744813,9838582
"605",2012,7,745215,9838953
"606",2012,7,749908,9837570
"607",2012,7,746965,9838185
"608",2012,7,746959,9838207
"609",2012,7,746604,9838360
"610",2012,7,746072,9838399
"611",2012,7,745310,9838783
"612",2012,7,744387,9840038
