Name ,Abbrev,GPS Abbrev,Category,UTME,UTMN,Date Created,Description,Territory
Woods Drop Off,Woods Drop Off,WOODSDO,t,720277,9851788,29-Jun-12,tree/thicket by Mega Junction used to drop off darted individuals in North,North
Woods Spot,Woods Spot,WOODS,o,721826,9853683,21-Aug-06,,
WTF Den,WTF D,WTF D ,cd,719217,9851000,7-Sep-09,communal den near short road to Olooloo,North
Yellow Brick Road Den,YBR D,YBR D,cd,724255,9837622,12-Nov-08,communal den south of BBC lugga,Oz
Zebra Crossing,Zebra X,ZEBR X,x,725710,9836928,9-Jul-08,"Major crossing on BBC lugga, South Murram Road",Oz
Zoey Natal Den 13,ZOEY ND 13,ZOEY ND 13,nd,719236,9849302,26-Jan-13,"Natal den used by ZOEY January 2013, determined by GPS data",North
TNSL Natal Den 13,TNSL ND 13,TNSL ND 13,nd,721927,9845330,22-Feb-13,"Natal den used by TNSL Jan and Feb 2013, determined by GPS data.  Off high road. ",North 
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
